Year	Total Wine per Resident1	Total Wine Gallons	Total Table Wine Gallons2
2022	2.86 gals	964 million	822 million
2021	3.14 gals	1.1 billion	862 million
2020	3.10 gals	1 billion	869 million
2019	2.93 gals	971 million	841 million
2018	2.98 gals	982 million	861 million
2017	2.90 gals	947 million	833 million
2016	2.99 gals	968 million	852 million
2015	2.85 gals	915 million	811 million
2014	2.82 gals	900 million	801 million
2013	2.80 gals	887 million	790 million
2012	2.78 gals	873 million	773 million
2011	2.72 gals	847 million	754 million
2010	2.58 gals	798 million	703 million
2009	2.51 gals	770 million	681 million
2008	2.46 gals	747 million	661 million
2007	2.48 gals	746 million	658 million
2006	2.37 gals	707 million	629 million
2005	2.33 gals	687 million	599 million
2004	2.24 gals	657 million	575 million
2003	2.19 gals	637 million	537 million
2002	2.14 gals	615 million	527 million
2001	2.15 gals	611 million	519 million
2000	2.00 gals	565 million	465 million
1999	2.06 gals	561 million	451 million
1998	1.90 gals	513 million	441 million
1997	1.84 gals	492 million	420 million
1996	1.84 gals	489 million	414 million
1995	1.75 gals	461 million	388 million
1994	1.74 gals	452 million	365 million
1993	1.71 gals	440 million	341 million
1992	1.67 gals	425 million	307 million
1991	1.87 gals	472 million	333 million
1990	2.03 gals	506 million	320 million
1989	2.07 gals	512 million	310 million
1988	2.28 gals	558 million	331 million
1987	2.36 gals	573 million	319 million
1986	2.41 gals	580 million	320 million
1985	2.42 gals	577 million	343 million
1984	2.31 gals	545 million	360 million
1983	2.25 gals	528 million	370 million
1982	2.21 gals	514 million	372 million
1981	2.20 gals	506 million	364 million
1980	2.11 gals	480 million	339 million
1979	1.97 gals	444 million	312 million
1978	1.95 gals	435 million	303 million
1977	1.82 gals	401 million	274 million
1976	1.73 gals	376 million	212 million
1975	1.70 gals	368 million	201 million
1974	1.63 gals	349 million	186 million
1973	1.64 gals	348 million	181 million
1972	1.61 gals	337 million	167 million
1971	1.47 gals	305 million	153 million
1970	1.30 gals	267 million	133 million
1969	1.16 gals	236 million	112 million
1968	1.06 gals	214 million	96 million
1967	1.02 gals	203 million	88 million
1966	0.97 gals	191 million	79 million
1965	0.98 gals	190 million	74 million
1964	0.97 gals	186 million	70 million
1963	0.93 gals	176 million	64 million
1962	0.90 gals	168 million	60 million
1961	0.93 gals	172 million	57 million
1960	0.90 gals	163 million	53 million
1959	0.88 gals	156 million	48 million
1958	0.88 gals	155 million	47 million
1957	0.88 gals	152 million	45 million
1956	0.89 gals	150 million	45 million
1955	0.88 gals	145 million	43 million
1954	0.87 gals	142 million	42 million
1953	0.88 gals	141 million	40 million
1952	0.87 gals	138 million	38 million
1951	0.82 gals	126 million	36 million
1950	0.92 gals	141 million	36 million
1949	0.89 gals	133 million	32 million
1948	0.83 gals	122 million	29 million
1947	0.53 gals	77 million	23 million
1946	0.99 gals	140 million	37 million
1945	0.67 gals	94 million	28 million
1944	0.71 gals	99 million	26 million
1943	0.71 gals	97 million	38 million
1942	0.84 gals	113 million	32 million
1941	0.76 gals	101 million	29 million
1940	0.68 gals	90 million	26 million
1939	0.58 gals	77 million	22 million
1938	0.52 gals	67 million	19 million
1937	0.52 gals	67 million	18 million
1936	0.47 gals	60 million	16 million
1935	0.36 gals	46 million	12 million
1934	0.26 gals	33 million	8 million
