ID,Year_Birth,Education,Income,Kidhome,MntWines,Customer_Age,Customer_Generation,Customer_Age_Group,Customer_Age_Group2,Education2,Kidhome2,Amount_Group
5524,1957,Undergraduate,58138.0,0,635,62,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,301-1000
2174,1954,Undergraduate,46344.0,1,11,65,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,1,0-40
4141,1965,Undergraduate,71613.0,0,426,54,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
6182,1984,Undergraduate,26646.0,1,11,35,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,0-40
5324,1981,PhD,58293.0,1,173,38,Millennials & Generation Z,Adults,Adults,PhD,1,101-300
7446,1967,Master,62513.0,0,520,52,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
965,1971,Undergraduate,55635.0,0,235,48,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
6177,1985,PhD,33454.0,1,76,34,Millennials & Generation Z,Young Adults,Adults,PhD,1,41-100
4855,1974,PhD,30351.0,1,14,45,Generation X,Adults,Adults,PhD,1,0-40
5899,1950,PhD,5648.0,1,28,69,Baby Boomers & Older,Seniors,Seniors,PhD,1,0-40
2125,1959,Undergraduate,63033.0,0,194,60,Baby Boomers & Older,Adults,Adults,Undergraduate & Master,0,101-300
8180,1952,Master,59354.0,1,233,67,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,1,101-300
2569,1987,Undergraduate,17323.0,0,3,32,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,0,0-40
2114,1946,PhD,82800.0,0,1006,73,Baby Boomers & Older,Seniors,Seniors,PhD,0,
9736,1980,Undergraduate,41850.0,1,53,39,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,41-100
4939,1946,Undergraduate,37760.0,0,84,73,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,41-100
6565,1949,Master,76995.0,0,1012,70,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,
2278,1985,Undergraduate,33812.0,1,4,34,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
9360,1982,Undergraduate,37040.0,0,86,37,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,41-100
5376,1979,Undergraduate,2447.0,1,1,40,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,0-40
1993,1949,PhD,58607.0,0,867,70,Baby Boomers & Older,Seniors,Seniors,PhD,0,301-1000
4047,1954,PhD,65324.0,0,384,65,Baby Boomers & Older,Seniors,Seniors,PhD,0,301-1000
1409,1951,Undergraduate,40689.0,0,270,68,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,101-300
7892,1969,Undergraduate,18589.0,0,6,50,Generation X,Adults,Adults,Undergraduate & Master,0,0-40
2404,1976,Undergraduate,53359.0,1,173,43,Generation X,Adults,Adults,Undergraduate & Master,1,101-300
9422,1989,Undergraduate,38360.0,1,36,30,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
1966,1965,PhD,84618.0,0,684,54,Generation X,Adults,Adults,PhD,0,301-1000
6864,1989,Master,10979.0,0,8,30,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,0,0-40
3033,1963,Master,38620.0,0,112,56,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
5710,1970,Undergraduate,40548.0,0,110,49,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
7373,1952,PhD,46610.0,0,96,67,Baby Boomers & Older,Seniors,Seniors,PhD,0,41-100
8755,1946,Master,68657.0,0,482,73,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
10738,1951,Master,49389.0,1,40,68,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,1,0-40
4339,1970,PhD,67353.0,0,702,49,Generation X,Adults,Adults,PhD,0,301-1000
10755,1976,Undergraduate,23718.0,1,6,43,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
8595,1973,Undergraduate,42429.0,0,55,46,Generation X,Adults,Adults,Undergraduate & Master,0,41-100
2968,1943,PhD,48948.0,0,437,76,Baby Boomers & Older,Seniors,Seniors,PhD,0,301-1000
8601,1980,Undergraduate,80011.0,0,421,39,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,301-1000
503,1985,Master,20559.0,1,13,34,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
8430,1957,Undergraduate,21994.0,0,9,62,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,0-40
2139,1975,Master,7500.0,1,3,44,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
1371,1976,Undergraduate,79941.0,0,123,43,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
9909,1996,Undergraduate,7500.0,0,3,23,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,0,0-40
7286,1968,Undergraduate,41728.0,1,13,51,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
